action,domain,unicode_domain,service,category,description,source,added
block,300624.com,300624.com,FamiSafe,parental-control,,,
block,5rw61tcrl5.execute-api.us-west-2.amazonaws.com,5rw61tcrl5.execute-api.us-west-2.amazonaws.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,a-fallback-lightspeed.ably.io,a-fallback-lightspeed.ably.io,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,accountable2you-android.firebaseio.com,accountable2you-android.firebaseio.com,Accountable2You,parental-control,,,
block,accountable2you.com,accountable2you.com,Accountable2You,parental-control,,,
block,amplifiedit.com,amplifiedit.com,Gopher,device-management,,,
block,apisanta.com,apisanta.com,Deledao,filtering,,,
block,aristotlek12.com,aristotlek12.com,AristotleK12,monitoring,,,
block,ativion.com,ativion.com,Ativion Software,monitoring,,,
block,ativionnx.com,ativionnx.com,Ativion Software,monitoring,,,
block,b-fallback-lightspeed.ably.io,b-fallback-lightspeed.ably.io,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,b16rt683ll.execute-api.us-west-2.amazonaws.com,b16rt683ll.execute-api.us-west-2.amazonaws.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,bark.app,bark.app,Bark,monitoring,,,
block,bark.us,bark.us,Bark,monitoring,,,
block,barkforschools.com,barkforschools.com,Bark,monitoring,,,
block,beacon-report-uploads-prod.s3.us-west-2.amazonaws.com,beacon-report-uploads-prod.s3.us-west-2.amazonaws.com,GoGuardian,monitoring,Known patched/failsafe behavior; see README.,,
block,block.si,block.si,Blocksi,filtering,,,
block,block.tools,block.tools,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,blocksi-dns.appspot.com,blocksi-dns.appspot.com,Blocksi,filtering,,,
block,blocksi.net,blocksi.net,Blocksi,filtering,,,
block,blocksicloud.com,blocksicloud.com,Blocksi,filtering,,,
block,blocksicloud.net,blocksicloud.net,Blocksi,filtering,,,
block,brm-v3.appspot.com,brm-v3.appspot.com,Blocksi,filtering,,,
block,c-fallback-lightspeed.ably.io,c-fallback-lightspeed.ably.io,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,canopy.us,canopy.us,General Parental Control,parental-control,,,
block,catchon.com,catchon.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,cipafilter.com,cipafilter.com,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,ck-express.com,ck-express.com,Ativion Software,monitoring,,,
block,clevguard.com,clevguard.com,ClevGuard / KidsGuard,parental-control,,,
block,clevguard.org,clevguard.org,ClevGuard / KidsGuard,parental-control,,,
block,contentkeeper.com,contentkeeper.com,Ativion Software,monitoring,,,
block,contentkeeper.io,contentkeeper.io,Ativion Software,monitoring,,,
block,contentkeeper.net,contentkeeper.net,Ativion Software,monitoring,,,
block,contentwatch.com,contentwatch.com,General Parental Control,parental-control,,,
block,custodio.com,custodio.com,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,deepfreeze.com,deepfreeze.com,Faronics,monitoring,,,
block,deledao.com,deledao.com,Deledao,filtering,,,
block,deledao.net,deledao.net,Deledao,filtering,,,
block,discovenger.com,discovenger.com,General Parental Control,parental-control,,,
block,dldschool.org,dldschool.org,Deledao,filtering,,,
block,dyknow-data-prd.s3.amazonaws.com,dyknow-data-prd.s3.amazonaws.com,DyKnow,monitoring,,,
block,dyknow.com,dyknow.com,DyKnow,monitoring,,,
block,educatorimpact.com,educatorimpact.com,Pulse (and related services: EducatorImpact),monitoring,,,
block,eipulse.zendesk.com,eipulse.zendesk.com,Pulse (and related services: EducatorImpact),monitoring,,,
block,eyezy.com,eyezy.com,Eyezy,parental-control,,,
block,family.microsoft.com,family.microsoft.com,Microsoft Family Safety,parental-control,,,
block,familyorbit.com,familyorbit.com,FamilyOrbit,parental-control,,,
block,familyorbit.net,familyorbit.net,FamilyOrbit,parental-control,,,
block,familysafetyproduction.com,familysafetyproduction.com,Life360,parental-control,,,
block,familyzone.com,familyzone.com,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,familyzone.com.au,familyzone.com.au,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,familyzone.io,familyzone.io,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,familyzone.tools,familyzone.tools,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
